"","Kecemasan","GM","Emosi","Aman","MATHMEAN"
"605",4,2,0.0478,1.1246,355.2066
"606",8,4,0.8061,1.1246,333.3331
"609",4,3,0.2102,-1.1042,364.1357
"610",4,3,-0.1513,-0.756,408.0877
"611",6,3,-0.0636,-0.756,285.6423
"612",5,4,-0.5297,-0.756,321.7026
"615",6,3,1.4056,-0.756,331.4475
"616",5,3,0.1033,-1.4966,362.9054
"620",4,3,-0.6095,-0.756,355.3313
"621",6,1,0.5161,-0.756,310.8701
"623",6,3,0.0239,-1.1042,294.7806
"624",4,3,-0.3185,0.4836,412.4892
"626",5,2,-0.17,0.6942,503.2154
"627",4,2,-0.6385,-0.756,394.0659
"630",4,2,0.3731,-0.0918,336.4321
"632",4,2,-0.5752,-1.1042,322.9391
"633",6,2,0.0385,-0.039,540.9801
"634",2,3,-0.6458,1.1246,344.762
"636",4,2,-0.3628,-0.756,350.3397
"637",4,3,0.3105,1.1246,358.5341
"638",6,3,-0.6198,-1.7615,349.3177
"640",3,1,-0.6213,0.6942,366.8025
"641",4,2,-0.3457,-0.756,357.9316
"642",3,1,0.6859,0.4361,304.8766
"646",4,2,-0.1174,-1.1042,422.2169
"647",4,3,-0.7893,-0.756,305.6797
"648",5,2,0.2926,-0.756,366.841
"649",5,1,0.3952,0.6942,342.2195
"650",5,3,-0.5305,0.0826,358.1404
"651",4,2,-0.3511,-0.756,343.1911
"652",5,2,-0.9556,-0.756,514.691
"653",4,3,0.0178,0.1413,341.2249
"654",3,3,-0.895,1.1246,351.8402
"655",4,2,-0.0776,1.1246,381.8573
"657",4,3,0.4538,-1.1042,316.1716
"658",2,2,1.1805,1.1246,409.1905
"660",5,3,0.0053,-0.756,296.9777
"662",5,3,-0.1329,-0.756,343.0682
"663",4,2,-0.2457,0.4417,388.5555
"664",6,2,-0.0502,-0.756,403.3446
"665",4,3,0.0491,-0.756,345.9159
"666",7,1,0.4476,-0.756,301.1148
"668",2,2,-0.6917,0.4938,350.3642
"669",2,3,0.3131,-1.1042,318.7797
"672",4,4,-1.8337,0.6942,325.9389
"674",4,3,0.1854,-0.756,365.1888
"676",3,2,1.311,-0.756,478.2118
"677",4,3,-0.1725,-0.756,376.1886
"678",6,3,-0.1397,-1.1042,326.3386
"679",4,2,-0.3382,-0.039,445.7085
"680",2,3,0.0559,-0.039,501.323
"682",3,2,-0.4159,-0.756,481.192
